तमंचा	t̪ ə m ə ɲ t͡ʃ ɑː
धोबिन	d̪ ʱ oː b ɪ n
अड़ाना	ə ɽ ɑː n ɑː
बुटवल	b ʊ ʈ ʋ ə l
डाकघर	ɖ ɑː k ɡ ʱ ə ɾ
समन्वय	s ə m ə n ʋ ə j
आरंभिक	ɑː ɾ ə m b ʱ ɪ k
मिथ्या	m ɪ t̪ʰ j ɑː
पैदाइश	p ɛː d̪ ɑː ɪ ʃ
मौसमीपन	m ɔː s m iː p ə n
दबाव	d̪ ə b ɑː ʋ
लहर	l ɛː ʱ ɾ
छक्का	t͡ʃʰ ə k k ɑː
दलित	d̪ ə l ɪ t̪
उपबोली	ʊ p b oː l iː
आयरलैंड	ɑː j ə ɾ l ɛː n ɖ
माँगना	m ɑ̃ː ɡ n ɑː
अलविदा	ə l ʋ ɪ d̪ ɑː
कलह	k ə l ə ʱ
सजाना	s ə d͡ʒ ɑː n ɑː
लसन	l ə s ə n
लोकप्रियता	l oː k ə p ɾ iː j ə t̪ ɑː
कुकी	k ʊ k iː
बायाँ	b ɑː j ɑ̃ː
ठाणे	ʈʰ ɑː n eː
फूफा	pʰ uː pʰ ɑː
कपड़ा	k ə p ɽ ɑː
अतः	ə t̪ əʰ
बयानबाज़ी	b ə j ɑː n b ɑː z iː
दोषमुक्ति	d̪ o ʂ m ʊ k t̪ i
निर्घोष	n ɪ ɾ ɡ ʱ oː ʃ
गतिमान	ɡ ə t̪ ɪ m ɑː n
विभूति	ʋ ɪ b ʱ uː t̪ iː
अप्रचलित	ə p ɾ ə t͡ʃ ə l ɪ t̪
बाधा	b ɑː d̪ ʱ ɑː
नुमाइंदा	n ʊ m ɑː ɪ n d̪ ɑː
एतबार	eː t̪ b ɑː ɾ
धातुकर्म	d̪ ʱ ɑː t̪ ʊ k ə ɾ m
लोकतांत्रिक	l oː k t̪ ɑː n t̪ ɾ ɪ k
संसदीय	s ə n s ə d̪ iː j
कई	k ə iː
चरमपंथी	t͡ʃ ə ɾ ə m p ə n t̪ʰ iː
चुनौती	t͡ʃ ʊ n ɔː t̪ iː
कर्म	k ə ɾ m
सरलीकृत	s ə ɾ l iː k ɾ ɪ t̪
लेख	l eː kʰ
तिरसठ	t̪ ɪ ɾ s ə ʈʰ
टोक्यो	ʈ oː k j oː
ऐश	ɛː ʃ
यशायाह	j ə ʃ ɑː j ɑː ʱ
खूँटी	kʰ ũː ʈ iː
निष्कासन	n ɪ ʃ k ɑː s ə n
अनगढ़	ə n ɡ ə ɽ ʱ
अम्बर	ə m b ə ɾ
अंधविश्वास	ə n d̪ ʱ ʋ ɪ ʃ ʋ ɑː s
संघीय	s ə ŋ ɡ ʱ iː j
अनुवाद	ə n ʊ ʋ ɑː d̪
कलमा	k ə l m ɑː
शिवालय	ʃ ɪ ʋ ɑː l ə j
मौलाना	m ɔː l ɑː n ɑː
पाशुपत	p ɑː ʃ ʊ p ə t̪
हर्ष	ɦ ə ɾ ʃ
क्षेत्र	k ʃ eː t̪ ɾ
अकड़ना	ə k ə ɽ n ɑː
राज्यानुसार	ɾ ɑː d͡ʒ j ɑː n ʊ s ɑː ɾ
ब्रिस्बेन	b ɾ ɪ s b eː n
इब्तिदा	ɪ b t̪ ɪ d̪ ɑː
अभियोग	ə b ʱ iː j oː ɡ
हँसाना	ɦ ə̃ s ɑː n ɑː
कहना	k ɛː ʱ n ɑː
इक्यावन	ɪ k j ɑː ʋ ə n
प्रमाण	p ɾ ə m ɑː n
भूतनी	b ʱ uː t̪ n iː
इकावन	ɪ k ɑː ʋ ə n
सप्ताहांत	s ə p t̪ ɑː ɦ ɑː n t̪
गायब	ɡ ɑː j ə b
मंजन	m ə ɲ d͡ʒ ə n
भाखा	b ʱ ɑː kʰ ɑː
अगरतला	ə ɡ ə ɾ t̪ ə l ɑː
सोता	s oː t̪ ɑː
बलपूर्वक	b ə l p uː ɾ ʋ ə k
रिहा	ɾ ɪ ɦ ɑː
शरीर	ʃ ə ɾ iː ɾ
शिद्दत	ʃ ɪ d̪ d̪ ə t̪
प्रतीति	p ɾ ə t̪ iː t̪ iː
बंदर	b ə n d̪ ə ɾ
काजल	k ɑː d͡ʒ ə l
रूपरेखा	ɾ uː p ɾ eː kʰ ɑː
मूल्यांकन	m uː l j ɑː ŋ k ə n
अजूबा	ə d͡ʒ uː b ɑː
बसंत	b ə s ə n t̪
प्रतिशत	p ɾ ə t̪ ɪ ʃ ə t̪
जी	d͡ʒ iː
ओकाई	o k aː iː
हृदयरोग	ɦ ɾ ɪ d̪ ə j ɾ oː ɡ
इकसठ	ɪ k s ə ʈʰ
भूनना	b ʱ uː n n ɑː
खींचतान	kʰ iː ɲ t͡ʃ t̪ ɑː n
बाँसुरी	b ɑ̃ː s ʊ ɾ iː
पाई	p ɑː iː
अंताक्षरी	ə n t̪ ɑː k ʃ ə ɾ iː
झलना	d͡ʒ ʱ ə l n ɑː
चिढ़ाना	t͡ʃ ɪ ɽ ʱ ɑː n ɑː
प्रतिज्ञा	p ɾ ə t̪ ɪ ɡ j ɑː
शब्दार्थ	ʃ ə b d̪ ɑː ɾ t̪ʰ
संगीत	s ə ŋ ɡ iː t̪
शैवाल	ʃ ɛː ʋ ɑː l
बिताना	b ɪ t̪ ɑː n ɑː
बाकू	b ɑː k uː
पलस्तर	p ə l ə s t̪ ə ɾ
उत्तरदायी	ʊ t̪ t̪ ə ɾ d̪ ɑː j iː
चर्चित	t͡ʃ ə ɾ t͡ʃ ɪ t̪
पिज़्ज़ा	p ɪ z z ɑː
आछा	ɑː t͡ʃʰ ɑː
बिहारी	b ɪ ɦ ɑː ɾ iː
परजन	p ə ɾ d͡ʒ ə n
उल्लेखनीय	ʊ l l eː kʰ n iː j
भीषण	b ʱ iː ʃ ə n
मानसूनी	m ɑː n s uː n iː
पत्थरबाज़	p ə t̪ t̪ʰ ə ɾ b ɑː z
नेम	n eː m
बटालियन	b ə ʈ ɑː l iː j ə n
अमान्य	ə m ɑː n j
मज़दूर	m ə z d̪ uː ɾ
काष्ठशर्करा	k ɑː ʃ ʈʰ ʃ ə ɾ k ə ɾ ɑː
शिष्य	ʃ ɪ ʃ j
उल्लेख	ʊ l l eː kʰ
दंत्य	d̪ ə n t̪ j
तीखा	t̪ iː kʰ ɑː
भावुक	b ʱ ɑː ʋ ʊ k
लड़ाका	l ə ɽ ɑː k ɑː
हवलदार	ɦ ə ʋ ə l d̪ ɑː ɾ
कोशिकीय	k oː ʃ ɪ k iː j
छप्पन	t͡ʃʰ ə p p ə n
पुलिंदा	p ʊ l ɪ n d̪ ɑː
महागठबंधन	m ə ɦ ɑː ɡ ə ʈʰ b ə n d̪ ʱ ə n
उरुग्वे	ʊ ɾ ʊ ɡ ʋ eː
मझधार	m ə d͡ʒ ʱ d̪ ʱ ɑː ɾ
छलकना	t͡ʃʰ ə l ə k n ɑː
विश्वासपात्र	ʋ ɪ ʃ ʋ ɑː s p ɑː t̪ ɾ
पुरुष	p ʊ ɾ ʊ ʃ
दर्दनाक	d̪ ə ɾ d̪ n ɑː k
लीची	l iː t͡ʃ iː
आंशिक	ɑː n ʃ ɪ k
मतदान	m ə t̪ d̪ ɑː n
अखरना	ə kʰ ə ɾ n ɑː
बुझाना	b ʊ d͡ʒ ʱ ɑː n ɑː
अक्तूबर	ə k t̪ uː b ə ɾ
काजू	k ɑː d͡ʒ uː
घटाना	ɡ ʱ ə ʈ ɑː n ɑː
ज़ुल्म	z ʊ l m
मौन	m ɔː n
नौबत	n ɔː b ə t̪
लीडरी	l iː ɖ ə ɾ iː
टूट	ʈ uː ʈ
कुतरना	k ʊ t̪ ə ɾ n ɑː
सामी	s ɑː m iː
रटना	ɾ ə ʈ n ɑː
शिक्षार्थी	ʃ ɪ k ʃ ɑː ɾ t̪ʰ iː
प्यादा	p j ɑː d̪ ɑː
पखेरू	p ə kʰ eː ɾ uː
यथा	j ə t̪ʰ ɑː
दीन	d̪ iː n
अहिच्छत्र	ə ɦ ɪ t͡ʃ t͡ʃʰ ə t̪ ɾ
माँस	m ɑ̃ː s
दिलचस्पी	d̪ ɪ l t͡ʃ ə s p iː
झाँसी	d͡ʒ ʱ ɑ̃ː s iː
अधीन	ə d̪ ʱ iː n
अटकाव	ə ʈ k ɑː ʋ
बिरादर	b ɪ ɾ ɑː d̪ ə ɾ
तीसरा	t̪ iː s ɾ ɑː
स्वतः	s ʋ ə t̪ əʰ
ढोकला	ɖ ʱ oː k l ɑː
नींबू	n iː m b uː
निलंबित	n ɪ l ə m b ɪ t̪
मृतक	m ɾ ɪ t̪ ə k
पेश	p eː ʃ
विद्युतीय	ʋ ɪ d̪ j ʊ t̪ iː j
चल	t͡ʃ ə l
असाधारण	ə s ɑː d̪ ʱ ɑː ɾ ə n
लीलना	l iː l n ɑː
शुद्ध	ʃ ʊ d̪ d̪ ʱ
समझाना	s ə m d͡ʒ ʱ ɑː n ɑː
तरस्विनी	t̪ ə ɾ ə s ʋ ɪ n iː
पारिवारिक	p ɑː ɾ ɪ ʋ ɑː ɾ ɪ k
अग्न्याशय	ə ɡ n j ɑː ʃ ə j
द्वार	d̪ ʋ aː r
दूज	d̪ uː d͡ʒ
चमगादड़	t͡ʃ ə m ɡ ɑː d̪ ə ɽ
सांबर	s ɑː m b ə ɾ
कूटनीतिज्ञ	k uː ʈ n iː t̪ ɪ ɡ j
मुहब्बत	m ʊ ɦ ə b b ə t̪
अवाई	ə ʋ ɑː iː
अरविंद	ə ɾ ʋ ɪ n d̪
कोयला	k oː j ə l ɑː
अस्थि	ə s t̪ʰ iː
पचपन	p ə t͡ʃ p ə n
टपकना	ʈ ə p ə k n ɑː
कुहनी	k ʊ ʱ n iː
अंदाज़	ə n̪ d̪ a z
बकुची	b ə k ʊ t͡ʃ iː
पुण्यतिथि	p ʊ n j ə t̪ ɪ t̪ʰ iː
मसूड़ा	m ə s uː ɽ ɑː
भरत	b ʱ ə ɾ ə t̪
ताकना	t̪ ɑː k n ɑː
दबदबा	d̪ ə b d̪ ə b ɑː
रस्सी	ɾ ə s s iː
